Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
手紙,letter,手紙[てがみ],Noun,,jlpt-n5 jlpt-n5
電話,"telephone call, phone call",電話[でんわ],"Noun, Suru verb, No-adjective","telephone (device), phone",jlpt-n5
水,"water (esp. cool, fresh water, e.g. drinking water)",水[みず],Noun,"fluid (esp. in an animal tissue), liquid; flood, floodwaters; water offered to wrestlers just prior to a bout; break granted to wrestlers engaged in a prolonged bout",jlpt-n5 jlpt-n5
病気,"illness, disease, sickness",病気[びょうき],"Noun, No-adjective, Suru verb","weirdness, bad habit, bad behaviour, craziness, perversion",jlpt-n5
会社,"company, corporation",会社[かいしゃ],Noun,workplace,jlpt-n5 jlpt-n5
上げる,"to raise, to elevate",上[あ]げる,"Ichidan verb, Transitive verb","to do up (one's hair); to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.); to land (a boat); to deep-fry; to show someone (into a room); to summon (for geishas, etc.); to send someone (away); to enrol (one's child in school), to enroll; to increase (price, quality, status, etc.), to develop (talent, skill), to improve; to make (a loud sound), to raise (one's voice); to earn (something desirable); to praise; to give (an example, etc.), to cite; to summon up (all of one's energy, etc.); to arrest; to nominate; to give; to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.); to bear (a child); to conduct (a ceremony, esp. a wedding); (of the tide) to come in; to vomit; to do for (the sake of someone else); to complete ...; to humbly do ...",jlpt-n4 jlpt-n2 jlpt-n5 jlpt-n4 jlpt-n2 jlpt-n5
結婚,marriage,結婚[けっこん],"Noun, No-adjective, Suru verb",,jlpt-n5 jlpt-n5
言葉,"language, dialect",言葉[ことば],Noun,"word, words, phrase, term, expression, remark; speech, (manner of) speaking; learning to speak, language acquisition",jlpt-n5 jlpt-n5
目,"eye, eyeball",目[め],Noun,"eyesight, sight, vision; look, stare, gaze, glance; notice, attention, observation, eyes (of the world, public, etc.); an experience; viewpoint; discrimination, discernment, judgement, eye (e.g. for quality); appearance; spacing (between crossed strands of a net, mesh, etc.), opening, stitch, texture, weave; grain (of wood); eye (of a storm, needle, etc.); intersection (on a go board), square (on a chess board); dot (on a dice), pip, rolled number; graduation, division (of a scale); tooth (of a saw, comb, etc.); ordinal number suffix; somewhat, -ish; point (e.g. of change)",jlpt-n5 jlpt-n5
走る,to run,走[はし]る,"Godan verb with ru ending, intransitive verb","to travel (movement of vehicles), to drive, to flow (e.g. energy); to hurry to; to retreat (from battle), to take flight; to run away from home; to elope; to tend heavily toward; to flash, to streak, to shoot through (e.g. pain)",jlpt-n5 jlpt-n5
名前,"name, full name",名前[なまえ],Noun,"given name, first name",jlpt-n5 jlpt-n5
旅行,"travel, trip, journey, excursion, tour",旅行[りょこう],"Noun, Suru verb",,jlpt-n5 jlpt-n5
道,"road, path, street, lane, passage",道[みち],Noun,"route, way; distance, journey; road (e.g. to victory), course; way (of living, proper conduct, etc.), moral principles; teachings (esp. Confucian or Buddhist), dogma; field (e.g. of medicine), subject, speciality; means, way, method",jlpt-n5 jlpt-n5
飛行機,"aeroplane, airplane, aircraft",飛行機[ひこうき],Noun,,jlpt-n5 jlpt-n5
映画,"movie, film",映画[えいが],"Noun, No-adjective",,jlpt-n5 jlpt-n5
音楽,music,音楽[おんがく],Noun,,jlpt-n5 jlpt-n5
木,"tree, shrub, bush",木[き],Noun,"wood, timber",jlpt-n5
大学,"university, college",大学[だいがく],Noun,former central university of Kyoto (established under the ritsuryo system for the training of government administrators); the Great Learning (one of the Four Books),jlpt-n5 jlpt-n5
時計,"watch, clock, timepiece",時計[とけい],Noun,,jlpt-n5
家族,"family, members of a family",家族[かぞく],"Noun, No-adjective",,jlpt-n5 jlpt-n5
花,"flower, blossom, bloom, petal",花[はな],Noun,"cherry blossom; beauty; blooming (esp. of cherry blossoms); ikebana; hanafuda; (the) best; glorious, lovely",jlpt-n5 jlpt-n5
猫,cat,猫[ねこ],Noun,"shamisen; geisha; wheelbarrow; clay bed-warmer; bottom, submissive partner of a homosexual relationship",jlpt-n5 jlpt-n5
毎日,every day,毎日[まいにち],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
宿題,"homework, assignment",宿題[しゅくだい],Noun,"pending issue, unresolved problem, open question",jlpt-n5 jlpt-n5
雪,snow,雪[ゆき],Noun,,jlpt-n5
山,"mountain, hill",山[やま],"Noun, Counter","mine (e.g. coal mine); heap, pile; crown (of a hat), thread (of a screw), tread (of a tire), protruding part of an object; climax, peak, critical point; guess, speculation; criminal case, crime; mountain climbing, mountaineering; festival float (esp. one mounted with a decorative halberd); wall, wall tile; temple, temple grounds; wild",jlpt-n5
窓,window,窓[まど],Noun,,jlpt-n5 jlpt-n5
動物,animal,動物[どうぶつ],Noun,,jlpt-n5 jlpt-n5
夜,"evening, night",夜[よる],"Adverbial noun, Temporal noun",,jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
料理,"cooking, cookery, cuisine",料理[りょうり],"Noun, Suru verb","dealing with something, handling, administration, management",jlpt-n5 jlpt-n5
夏,summer,夏[なつ],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
新聞,newspaper,新聞[しんぶん],Noun,,jlpt-n5 jlpt-n5
公園,(public) park,公園[こうえん],Noun,,jlpt-n5 jlpt-n5
意味,"meaning, significance, sense",意味[いみ],"Noun, Suru verb",,jlpt-n5 jlpt-n5
自転車,bicycle,自転車[じてんしゃ],Noun,,jlpt-n5 jlpt-n5
足,foot,足[あし],Noun,"leg; gait; pace; bottom structural component (i.e. radical) of a kanji; means of transportation; money, coin",jlpt-n5 jlpt-n5
電車,"train, electric train",電車[でんしゃ],Noun,,jlpt-n5 jlpt-n5
散歩,"walk, stroll",散歩[さんぽ],"Noun, Suru verb",,jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
声,voice,声[こえ],Noun,"singing (of a bird), chirping (of an insect), hoot; voice, opinion (as expressed in words), view, wish, attitude, will; sound; sense (of something's arrival), feeling; voice, voiced sound",jlpt-n5 jlpt-n5
朝,morning,朝[あさ],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
歌,song,歌[うた],Noun,classical Japanese poetry (esp. tanka); modern poetry,jlpt-n5 jlpt-n5
靴,"shoe, shoes, boots, footwear, footgear",靴[くつ],Noun,,jlpt-n5 jlpt-n5
箱,"box, case, chest, package, pack, crate",箱[はこ],Noun,"car (of a train, etc.); shamisen case, shamisen; public building, community building; man who carries a geisha's shamisen; receptacle for human waste, feces (faeces); counter for boxes (or boxed objects)",jlpt-n5 jlpt-n5
机,desk,机[つくえ],Noun,,jlpt-n5
帽子,"hat, cap",帽子[ぼうし],Noun,,jlpt-n5 jlpt-n5
海,"sea, ocean, waters",海[うみ],Noun,,jlpt-n5 jlpt-n5
授業,"lesson, class work, teaching, instruction",授業[じゅぎょう],"Noun, Suru verb",,jlpt-n5 jlpt-n5
銀行,bank,銀行[ぎんこう],"Noun, No-adjective",,jlpt-n5 jlpt-n5
写真,"photograph, photo, picture, snapshot, snap",写真[しゃしん],Noun,movie,jlpt-n5 jlpt-n5
冬,winter,冬[ふゆ],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
村,village,村[むら],Noun,,jlpt-n5 jlpt-n5
傘,"umbrella, parasol",傘[かさ],Noun,"something shaped like an umbrella or a conical hat, shade (of a lamp), mushroom cap, pileus",jlpt-n5 jlpt-n5
口,mouth,口[くち],Noun,"opening, hole, gap, orifice; mouth (of a bottle), spout, nozzle, mouthpiece; gate, door, entrance, exit; speaking, speech, talk (i.e. gossip); taste, palate; mouth (to feed); opening (i.e. vacancy), available position; invitation, summons; kind, sort, type; opening (i.e. beginning); counter for mouthfuls, shares (of money), and swords",jlpt-n5 jlpt-n5
橋,bridge,橋[はし],Noun,,jlpt-n5 jlpt-n5
病院,hospital,病院[びょういん],"Noun, No-adjective",,jlpt-n5
図書館,library,図書館[としょかん],Noun,,jlpt-n5 jlpt-n5
春,"spring, springtime",春[はる],"Adverbial noun, Temporal noun","New Year; prime (of one's life, etc.); adolescence, puberty; sexuality",jlpt-n5 jlpt-n5
買い物,"shopping, purchased goods",買[か]い 物[もの],Noun,,jlpt-n5
椅子,"chair, stool",椅子[いす],Noun,"post, office, position",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
自動車,automobile,自動車[じどうしゃ],Noun,,jlpt-n5 jlpt-n5
色,"colour, color, hue, tint, tinge, shade",色[いろ],Noun,"complexion, skin colour, skin color; look (on one's face), expression; appearance, air, feeling; personality, character; tone (of one's voice, etc.), tune, sound, ring; love, lust, sensuality, love affair; lover, paramour; beauty, sexiness, physical appeal; kind, type, variety",jlpt-n5 jlpt-n5
卵,"eggs, egg, spawn, roe",卵[たまご],Noun,"hen egg; (an expert) in the making; beginning, origin, infancy",jlpt-n5 jlpt-n5
肉,flesh,肉[にく],Noun,meat; the physical body (as opposed to the spirit); thickness; ink pad,jlpt-n5 jlpt-n5
風邪,"common cold, cold, influenza, flu, ague",風邪[かぜ],Noun,,jlpt-n5 jlpt-n5
掃除,"cleaning, sweeping, dusting, scrubbing",掃除[そうじ],"Noun, Suru verb",,jlpt-n5 jlpt-n5
紙,paper,紙[かみ],Noun,,jlpt-n5 jlpt-n5
鍵,key,鍵[かぎ],Noun,lock,jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
雑誌,"journal, magazine, periodical",雑誌[ざっし],Noun,,jlpt-n5 jlpt-n5
切符,ticket,切符[きっぷ],Noun,,jlpt-n5 jlpt-n5
外国人,"foreigner, foreign citizen, foreign national, alien, non-Japanese",外国人[がいこくじん],Noun,,jlpt-n5 jlpt-n5
財布,"purse, handbag, wallet",財布[さいふ],Noun,,jlpt-n5 jlpt-n5
鉛筆,pencil,鉛筆[えんぴつ],Noun,,jlpt-n5 jlpt-n5
大人,adult,大人[おとな],"Noun, No-adjective",,jlpt-n5 jlpt-n5
塩,"salt (i.e. sodium chloride), common salt, table salt",塩[しお],Noun,"salt (e.g. sodium chloride, calcium sulfate, etc.); hardship, toil, trouble; saltiness",jlpt-n1 jlpt-n5
砂糖,sugar,砂糖[さとう],Noun,,jlpt-n5 jlpt-n5
夏休み,"summer vacation, summer holiday",夏休[なつやす]み,Noun,,jlpt-n5 jlpt-n5
池,pond,池[いけ],Noun,,jlpt-n5 jlpt-n5
